informal,formal
a bit,a little
about,approximately
about,concerning
absentminded,abstracted
absorb,ingest
abundant,copious
add,affix
advise,counsel
again and again,repeatedly
aim,intend
allot,allocate
allow,permit
and,furthermore
and,in addition
anybody,anyone
anyplace,anywhere
apathy,anomie
appeal,petition
applause,acclamation
application,requisition
approval,commendation
around,approximately
arty,mannered
ask,enquire
ask about,enquire
ask for,request
assert,aver
assign,designate
assume,postulate
at first,initially
at once,immediately
attribute,characteristic
authority,jurisdiction
avoid,eschew
aware,cognizant
awful,ill
basic,fundamental
be going to,will
beach,littoral
beg,plead
beginner,novice
belittle,minimize
bellyache,whine
better,superior
better,ameliorate
big,major
big,large
bigger,greater
bitterness,acerbity
blabbermouth,informer
blame,reprehension
blessedness,beatitude
bloody,sanguinary
boozer,drunkard
boundless,illimitable
brag,vaunt
brilliant,resplendent
bring,convey
bring up,vomit
broad-minded,complaisant
broke,insolvent
bug,exasperate
build,construct
bully,terrorize
busy,occupied
but,however
buy,purchase
cancel,eradicate
carry,transport
catch,apprehend
catch on,understand
cease,desist
chance,opportunity
change,transform
change,alter
chat,dialogue
cheap,inexpensive
check up,investigate
chew,masticate
childish,immature
choose,select
chubby,portly
chump,fool
clean,immaculate
clear,transparent
clear,unmistakable
cleave,sunder
climb,ascend
clothing,apparel
comfort,condole
command,directive
conceit,vanity
concern,solicitude
conduct,deportment
conference,assembly
confusion,disarray
conscious,mindful
consider,deem
console,solace
control,govern
convert,transmute
copy,replica
cowardly,craven
coworker,associate
crony,friend
crowd,throng
cry,wail
cuddle,fondle
curse,anathema
cute,pretty
dad,father
daily,diurnal
deal with,handle
decay,decompose
decent,ethical
dedicate,consecrate
delete,expunge
delicious,flavorful
determine,ascertain
difficult,arduous
digest,imbibe
diligent,assiduous
dim,indistinct
disable,incapacitate
disapproval,aspersion
disaster,calamity
discussion,colloquy
disease,malady
disgusting,repugnant
do,perform
dog,hound
doubt,dubiety
doubter,skeptic
douse,submerge
dread,foreboding
drive,impel
drop,decline
drunk,intoxicated
dry,desiccated
dub,designate
dumb,obtuse
dunk,immerse
duplicate,facsimile
earlier,previous
eat,dine
edgy,restless
embarrassement,discomposure
empty,vacant
encourage,gladden
end,finish
endless,unending
enough,sufficient
erase,efface
everlasting,unending
every year,annually
everybody,everyone
everyday,quotidian
evil,nefarious
excuse,remit
explain,elucidate
facts,data
fair,disinterested
fall,decrease
famous,renowned
farming,agriculture
farsightedness,prescience
Fast,swift
fat,corpulent
feeling,emotion
fib,lie
field,specialization
filmy,diaphanous
find,locate
find,discover
fix,rectify
flabbergasted,astounded
flashy,gaudy
fleshy,mesomorphic
flimsy,unsubstantial
foretell,augur
forgive,pardon
fragile,frangible
Free,release
Free,exempt
fridge,refrigerator
friendly,amiable
frisky,sportive
funny,comic
gabby,talkative
gap,aperture
gardening,tillage
gather,convene
generous,magnanimous
get,obtain
get,acquire
get out,leave
get smaller,decrease
gist,crux
give,donate
give,contribute
give out,distribute
glasses,spectacles
gleaming,luminous
go,depart
go down with,contract
go through,perform
go up,increase
goal,objective
good,beneficial
goodwill,generosity
goof,mistake
gourmet,gastronome
great,reputable
greedy,avaricious
grill,interrogate
gripe,complain
grown-up,adult
guess,believe
guy,man
happiness,felicity
hard,laborious
harshness,acrimony
have to,must
heavy,burdensome
hefty,ponderous
help,assist
helper,assistant
high,elevated
hint,insinuation
hire,employ
hoard,preserve
hobby,avocation
home,residence
house,residence
house,dwelling
hug,caress
huge,enormous
humanity,humankind
humorous,jocular
hurry,expedite
illness,infirmity
imply,connote
important,consequential
improve,ameliorate
in charge,responsible
in the end,finally
inbred,innate
incidental,adventitious
include,comprise
indirectness,circumlocution
inhabit,reside
interject,interpose
jam,preserve
jaundiced,cynical
job,occupation
jolt,impact
keep,preserve
keep,retain
kid,child
kind of,somewhat
kind of,approximately
kindness,benevolence
lack,deficiency
lady,woman
lay back,relax
laziness,indolence
learn,detect
learner,scholar
learning,pedantry
leave,depart
leftover,residue
lessen,allay
let,permit
let,authorize
letter,correspondence
letup,respite
lighten,alleviate
like,such as
lit up,illuminate
live,reside
lively,energetic
loaded,prosperous
loneliness,disaffection
lonesome,lonely
look up,research
loud,clamorous
lucky,fortunate
lukewarm,tepid
mad,insane
mainly,principally
make sure,ensure
many,numerous
maybe,possibly
maybe,perhaps
mean,in other words
means,instrumentality
meant,denote
mend,repair
method,procedure
middle,midst
modify,transform
mom,mother
moral,virtuous
move,transfer
mushy,maudlin
nab,arrest
need,require
neighboring,contiguous
next,subsequently
nice,agreeable
nitpicking,pedantic
nobody,no one
nosy,prying
numb,anesthetized
numbskull,dullard
obscure,arcane
offer,proffer
ok,satisfactory
old,aged
older,senior
old-fashioned,archaic
on and off,intermittently
oppose,gainsay
optimistic,sanguine
originate,emanate
outcome,denouement
outstanding,paramount
own,possess
pale,wan
parched,dehydrated
participate,partake
pay,compensation
peak,summit
phone,telephone
photo,photograph
piddling,negligible
pigeonhole,categorize
plan,scheme
plane,aeroplane
Plucky,valiant
portion,passage
power,sway
praise,laud
preacher,minister
premonition,presentiment
present,gift
pretty much,essentially
prize,award
project,undertaking
promise,assure
prompt,motivate
promptness,alacrity
pushy,ambitious
put up,manage
quick,rapid
quit,resign
quotation,quote
raunchy,risque
really,quite
reasoning,ratiocination
rebirth,renaissance
redundant,pleonastic
relentless,inexorable
remain,abide
remember,recall
replace,supersede
request,appeal
resemble,parallel
resolution,fortitude
rest,repose
rile,annoy
ripen,mature
risk,jeopardy
rob,extort
rot,spoil
sanction,approbation
say no,reject
scanty,exiguous
scold,chide
seem,appear
send,transmit
send back,return
sentiment,affect
setup,request
shameful,dishonorable
sharp,acute
shining,effulgent
shiv,knife
shock,impact
shorten,decrease
shorten,reduce
show,demonstrate
show,evince
show up,appear
sickness,ailment
sight,vision
skimpy,meager
slander,aspersion
slapdash,cursory
slushy,mawkish
small,diminutive
smooch,kiss
snatch,seize
sneaky,underhand
so,therefore
so,consequently
sociable,social
somebody,someone
sort,type
sort of,Rather
so-so,mediocre
sot,alcoholic
sourness,asperity
speech,oration
speed,velocity
spread,propagate
spud,potato
stab,penetrate
start,begin
stick,adhere
stickup,larceny
stint,assignment
stipend,emolument
stop,cease
stop,halt
story,narrative
strong,stalwart
stuff,materials
stuff,things
stuff,items
surround,circumscribe
swamp,deluge
swap,barter
sweat,perspiration
swing,oscillate
tactful,diplomatic
take on,employ
takeoff,mimicry
tasty,palatable
teach,educate
tell,inform
tell,recount
thing,matter
thing,issue
think,cogitate
timeless,eternal
times,multiply
tip,gratuity
tired,fatigued
tomb,sepulcher
too,also
totally,completely
touching,poignant
trim,ornament
trip,voyage
truthful,veracious
try,endeavour
tune,song
unchangeable,immutable
understanding,comprehension
unhappy,dissatisfied
unruly,intractable
unselfishness,altruism
upset,disturb
uptight,nervous
use,consume
various,sundry
very,highly
want,desire
want,wish
watch,observe
wealthy,affluent
whole,complete
whole,entire
willing,compliant
wisecrack,joke
wordy,verbose
workable,feasible
worry,apprehension
worse,inferior
wrong,incorrect
yardstick,criterion
